19000000                                      | 2026-05-14 09:20:00 |       60561.33 |       60561.33
9000000                                       | 2026-05-14 09:54:32 |       97683.36 |      158244.69
11000000                                      | 2026-05-14 10:21:01 |      120946.95 |      279191.64
15000000                                      | 2026-05-14 10:42:41 |      155469.64 |      434661.28
19000001                                      | 2026-05-14 10:51:57 |       99327.68 |      533988.96
14000000                                      | 2026-05-14 10:55:24 |      153032.61 |      687021.58
18000000                                      | 2026-05-14 11:04:00 |      163355.30 |      850376.88
16000000                                      | 2026-05-14 11:05:58 |      173753.57 |     1024130.45
13000000                                      | 2026-05-14 11:21:31 |      169415.49 |     1193545.93
8000000                                       | 2026-05-14 11:22:19 |      162679.82 |     1356225.75
12000000                                      | 2026-05-14 11:34:48 |      197754.10 |     1553979.85
9000001                                       | 2026-05-14 11:53:46 |      113845.32 |     1667825.17
10000000                                      | 2026-05-14 12:00:19 |      236036.92 |     1903862.10
19000002                                      | 2026-05-14 12:29:05 |       80752.18 |     1984614.27
15000001                                      | 2026-05-14 12:35:20 |       90498.69 |     2075112.97
17000000                                      | 2026-05-14 12:41:59 |      240257.12 |     2315370.09
11000001                                      | 2026-05-14 12:53:36 |      136187.95 |     2451558.04
8000001                                       | 2026-05-14 13:02:02 |      111969.94 |     2563527.98
18000001                                      | 2026-05-14 13:10:59 |      105995.89 |     2669523.86
13000001                                      | 2026-05-14 13:14:59 |      140978.39 |     2810502.25
14000001                                      | 2026-05-14 13:23:49 |      120767.29 |     2931269.55
0                                             | 2026-05-14 13:48:27 |      302588.51 |     3233858.06
9000002                                       | 2026-05-14 14:17:56 |      155693.63 |     3389551.69
15000002                                      | 2026-05-14 14:19:47 |       88413.08 |     3477964.77
12000001                                      | 2026-05-14 14:20:03 |      162673.15 |     3640637.92
10000001                                      | 2026-05-14 14:21:23 |      151743.33 |     3792381.26
16000001                                      | 2026-05-14 14:54:35 |      223390.66 |     4015771.91
19000003                                      | 2026-05-14 14:57:35 |      166799.33 |     4182571.24
11000002                                      | 2026-05-14 15:06:24 |      128562.13 |     4311133.37
14000002                                      | 2026-05-14 15:12:08 |      114639.61 |     4425772.98
15000003                                      | 2026-05-14 15:27:44 |       77186.11 |     4502959.09
13000002                                      | 2026-05-14 15:28:36 |      101799.13 |     4604758.22
17000001                                      | 2026-05-14 15:46:14 |      189904.45 |     4794662.67
8000002                                       | 2026-05-14 15:52:05 |      173738.97 |     4968401.64
9000003                                       | 2026-05-14 16:09:36 |      138305.53 |     5106707.16
18000002                                      | 2026-05-14 16:15:45 |      198261.52 |     5304968.69
11000003                                      | 2026-05-14 16:31:39 |      101499.43 |     5406468.12
